camera,filename,radius,config,margin_inner_px,margin_outer_px,inner_frac,outer_frac,raw_erf,raw_int_var,raw_bg_var,raw_int_max,flat_erf,flat_int_var,flat_bg_var,flat_int_max,erf_delta,erf_pct,int_var_reduction,bg_var_reduction
g,sphere1314g_crop.png,55,fixed_15px,15,15,0.2727272727272727,0.2727272727272727,0.414475962522406,0.04140923544764519,0.010044378228485584,0.7960784435272217,9.981201624189449,0.0,0.0,0.0,9.566725661667043,2308.14969424189,1.0,1.0
g,sphere1314g_crop.png,55,fixed_25px,25,25,0.45454545454545453,0.45454545454545453,0.414475962522406,0.04140923544764519,0.010044378228485584,0.7960784435272217,14.623439814928986,0.00018025111057795584,0.001035608584061265,0.0532691553235054,14.20896385240658,3428.175609010972,0.9956470794828884,0.896896695793045
g,sphere1314g_crop.png,55,fixed_35px,35,35,0.6363636363636364,0.6363636363636364,0.414475962522406,0.04140923544764519,0.010044378228485584,0.7960784435272217,1.1900340684616633,0.005802293308079243,0.00784438755363226,0.33649247884750366,0.7755581059392573,187.11775255177355,0.8598792456476227,0.2190270641754819
g,sphere1314g_crop.png,55,fixed_50px,50,50,0.9090909090909091,0.9090909090909091,0.414475962522406,0.04140923544764519,0.010044378228485584,0.7960784435272217,0.6963773900924618,0.03983531519770622,0.0172589011490345,0.7960784435272217,0.2819014275700558,68.01393881914602,0.038008918371094214,-0.7182647602903607
g,sphere1314g_crop.png,55,prop_5pct,2,2,0.03636363636363636,0.03636363636363636,0.414475962522406,0.04140923544764519,0.010044378228485584,0.7960784435272217,3.6496796909329428,0.0,0.0,0.0,3.2352037284105366,780.5527994245615,1.0,1.0
g,sphere1314g_crop.png,55,prop_8pct,4,4,0.07272727272727272,0.07272727272727272,0.414475962522406,0.04140923544764519,0.010044378228485584,0.7960784435272217,4.59340782118844,0.0,0.0,0.0,4.178931858666034,1008.2446840183469,1.0,1.0
g,sphere1314g_crop.png,55,prop_10pct,5,5,0.09090909090909091,0.09090909090909091,0.414475962522406,0.04140923544764519,0.010044378228485584,0.7960784435272217,5.064547910334513,0.0,0.0,0.0,4.650071947812107,1121.9159537052117,1.0,1.0
g,sphere1314g_crop.png,55,prop_14pct,7,7,0.12727272727272726,0.12727272727272726,0.414475962522406,0.04140923544764519,0.010044378228485584,0.7960784435272217,6.0141433506627315,0.0,0.0,0.0,5.599667388140325,1351.023435487556,1.0,1.0
g,sphere1314g_crop.png,55,prop_20pct,11,11,0.2,0.2,0.414475962522406,0.04140923544764519,0.010044378228485584,0.7960784435272217,7.860669222248783,0.0,0.0,0.0,7.4461932597263765,1796.5319905189544,1.0,1.0
g,sphere1314g_crop.png,55,prop_30pct,16,16,0.2909090909090909,0.2909090909090909,0.414475962522406,0.04140923544764519,0.010044378228485584,0.7960784435272217,10.461040620360318,0.0,0.0,0.0,10.046564657837912,2423.9197363091494,1.0,1.0
g,sphere1314g_crop.png,55,asym_in5_out14,2,7,0.03636363636363636,0.12727272727272726,0.414475962522406,0.04140923544764519,0.010044378228485584,0.7960784435272217,5.981387933956434,0.0,0.0,0.0,5.566911971434028,1343.1205847391182,1.0,1.0
g,sphere1314g_crop.png,55,asym_in8_out14,4,7,0.07272727272727272,0.12727272727272726,0.414475962522406,0.04140923544764519,0.010044378228485584,0.7960784435272217,5.9982910404606935,0.0,0.0,0.0,5.583815077938287,1347.1987721450637,1.0,1.0
g,sphere1314g_crop.png,55,asym_in5_out20,2,11,0.03636363636363636,0.2,0.414475962522406,0.04140923544764519,0.010044378228485584,0.7960784435272217,7.799650428387647,0.0,0.0,0.0,7.385174465865241,1781.8100767341866,1.0,1.0
g,sphere1314g_crop.png,55,asym_in10_out20,5,11,0.09090909090909091,0.2,0.414475962522406,0.04140923544764519,0.010044378228485584,0.7960784435272217,7.829408847690796,0.0,0.0,0.0,7.4149328851683896,1788.9898463695704,1.0,1.0
g,sphere1314g_crop.png,55,asym_in14_out5,7,2,0.12727272727272726,0.03636363636363636,0.414475962522406,0.04140923544764519,0.010044378228485584,0.7960784435272217,3.668141322324406,0.0,0.0,0.0,3.253665359802,785.0070098157047,1.0,1.0
g,sphere1314g_crop.png,55,asym_in20_out8,11,4,0.2,0.07272727272727272,0.414475962522406,0.04140923544764519,0.010044378228485584,0.7960784435272217,4.612080548557928,0.0,0.0,0.0,4.197604586035522,1012.74982522264,1.0,1.0
g,sphere1314g_crop.png,55,asym_in14_out8,7,4,0.12727272727272726,0.07272727272727272,0.414475962522406,0.04140923544764519,0.010044378228485584,0.7960784435272217,4.607410191273534,0.0,0.0,0.0,4.1929342287511275,1011.6230150559005,1.0,1.0
v,sphere0086v_crop.png,124,fixed_15px,15,15,0.12096774193548387,0.12096774193548387,0.7349181146767315,0.02988489903509617,0.011950927786529064,0.9176470637321472,0.9135431429645808,0.0,0.0,0.0,0.17862502828784932,24.305432771434834,1.0,1.0
v,sphere0086v_crop.png,124,fixed_25px,25,25,0.20161290322580644,0.20161290322580644,0.7349181146767315,0.02988489903509617,0.011950927786529064,0.9176470637321472,0.7995909363812971,0.0,0.0,0.0,0.06467282170456556,8.800003757291137,1.0,1.0
