camera,filename,config,det_source,flat_geom,radius,eccentricity,m_in,m_out,test_type,sigma_target,kernel_applied,native_sigma,measured,error_pct,int_var,int_max
v,sphere0086v_crop.png,ContourDistMap 14% min 10px,contour,distmap,104,0.9764860994287722,14,14,quadrature,2.0,1.772910703235328,0.9256282398207255,2.3517870258988793,17.589351294943967,0.0,0.0
v,sphere0086v_crop.png,ContourDistMap 14% min 10px,contour,distmap,104,0.9764860994287722,14,14,quadrature,4.0,3.8914280619904034,0.9256282398207255,4.915181843052377,22.87954607630942,0.0,0.0
v,sphere0086v_crop.png,ContourDistMap 14% min 10px,contour,distmap,104,0.9764860994287722,14,14,quadrature,6.0,5.928171080666143,0.9256282398207255,0.0,-100.0,0.0,0.0
v,sphere0086v_crop.png,ContourDistMap 14% min 10px,contour,distmap,104,0.9764860994287722,14,14,quadrature,8.0,7.946270342849303,0.9256282398207255,9.284827552431299,16.060344405391234,0.0,0.0
v,sphere0086v_crop.png,ContourDistMap 14% min 10px,contour,distmap,104,0.9764860994287722,14,14,quadrature,10.0,9.95706846223558,0.9256282398207255,11.187832459541433,11.878324595414327,0.0,0.0
v,sphere0086v_crop.png,ContourDistMap 14% min 10px,contour,distmap,104,0.9764860994287722,14,14,quadrature,12.0,11.964247254284174,0.9256282398207255,13.106173821430447,9.21811517858706,0.0,0.0
v,sphere0086v_crop.png,ContourDistMap 14% min 10px,contour,distmap,104,0.9764860994287722,14,14,fixed_kernel,2.2038120696542194,2.0,0.9256282398207255,2.6062060417691715,18.25899665655648,0.0,0.0
v,sphere0086v_crop.png,ContourDistMap 14% min 10px,contour,distmap,104,0.9764860994287722,14,14,fixed_kernel,4.105701844795067,4.0,0.9256282398207255,5.047850260422532,22.947316956828168,0.0,0.0
v,sphere0086v_crop.png,ContourDistMap 14% min 10px,contour,distmap,104,0.9764860994287722,14,14,fixed_kernel,6.070979133414446,6.0,0.9256282398207255,0.0,-100.0,0.0,0.0
v,sphere0086v_crop.png,ContourDistMap 14% min 10px,contour,distmap,104,0.9764860994287722,14,14,fixed_kernel,8.053371197104576,8.0,0.9256282398207255,9.335843028236795,15.924658130663401,0.0,0.0
v,sphere0086v_crop.png,ContourDistMap 14% min 10px,contour,distmap,104,0.9764860994287722,14,14,fixed_kernel,10.042748012289943,10.0,0.9256282398207255,11.228425049150255,11.80630077952095,0.0,0.0
v,sphere0086v_crop.png,ContourDistMap 14% min 10px,contour,distmap,104,0.9764860994287722,14,14,fixed_kernel,12.035646540105505,12.0,0.9256282398207255,13.140473701285035,9.179624522022939,0.0,0.0
v,sphere0086v_crop.png,ContourDistMap In8% Out14%,contour,distmap,104,0.9764860994287722,8,14,quadrature,2.0,1.772910703235328,0.9256282398207255,2.3517841748462853,17.589208742314266,0.0,0.0
v,sphere0086v_crop.png,ContourDistMap In8% Out14%,contour,distmap,104,0.9764860994287722,8,14,quadrature,4.0,3.8914280619904034,0.9256282398207255,4.915181846465227,22.87954616163068,0.0,0.0
v,sphere0086v_crop.png,ContourDistMap In8% Out14%,contour,distmap,104,0.9764860994287722,8,14,quadrature,6.0,5.928171080666143,0.9256282398207255,0.0,-100.0,0.0,0.0
v,sphere0086v_crop.png,ContourDistMap In8% Out14%,contour,distmap,104,0.9764860994287722,8,14,quadrature,8.0,7.946270342849303,0.9256282398207255,9.28482755582942,16.06034444786775,0.0,0.0
v,sphere0086v_crop.png,ContourDistMap In8% Out14%,contour,distmap,104,0.9764860994287722,8,14,quadrature,10.0,9.95706846223558,0.9256282398207255,11.187832456150064,11.878324561500637,0.0,0.0
v,sphere0086v_crop.png,ContourDistMap In8% Out14%,contour,distmap,104,0.9764860994287722,8,14,quadrature,12.0,11.964247254284174,0.9256282398207255,13.106173821882997,9.21811518235831,0.0,0.0
v,sphere0086v_crop.png,ContourDistMap In8% Out14%,contour,distmap,104,0.9764860994287722,8,14,fixed_kernel,2.2038120696542194,2.0,0.9256282398207255,2.6061992552863664,18.258688713656152,0.0,0.0
v,sphere0086v_crop.png,ContourDistMap In8% Out14%,contour,distmap,104,0.9764860994287722,8,14,fixed_kernel,4.105701844795067,4.0,0.9256282398207255,5.047850266683869,22.947317109331628,0.0,0.0
v,sphere0086v_crop.png,ContourDistMap In8% Out14%,contour,distmap,104,0.9764860994287722,8,14,fixed_kernel,6.070979133414446,6.0,0.9256282398207255,0.0,-100.0,0.0,0.0
v,sphere0086v_crop.png,ContourDistMap In8% Out14%,contour,distmap,104,0.9764860994287722,8,14,fixed_kernel,8.053371197104576,8.0,0.9256282398207255,9.335843023221756,15.924658068390857,0.0,0.0
v,sphere0086v_crop.png,ContourDistMap In8% Out14%,contour,distmap,104,0.9764860994287722,8,14,fixed_kernel,10.042748012289943,10.0,0.9256282398207255,11.22842504836572,11.806300771708994,0.0,0.0
v,sphere0086v_crop.png,ContourDistMap In8% Out14%,contour,distmap,104,0.9764860994287722,8,14,fixed_kernel,12.035646540105505,12.0,0.9256282398207255,13.140473697600537,9.179624491409726,0.0,0.0
