camera,filename,config,radius,m_in,m_out,margin_as_pct_of_R,test_type,sigma_target,kernel_applied,native_sigma,measured,error_pct,int_var,int_max
g,sphere0834g_crop.png,Raw (no flattening),40,0,0,0.0,fixed_kernel,10.013594469870586,10.0,0.5216073303000904,5.692123008212029,-43.1560462595247,0.04569622501730919,0.8588235378265381
g,sphere0834g_crop.png,Raw (no flattening),40,0,0,0.0,fixed_kernel,12.011331075572881,12.0,0.5216073303000904,7.301323704116523,-39.21303427423604,0.04569622501730919,0.8588235378265381
g,sphere0834g_crop.png,14% of radius,40,5,5,12.5,quadrature,6.0,3.1512753266813207,5.105826457631471,6.094356137470319,1.5726022911719835,0.0,0.0
g,sphere0834g_crop.png,14% of radius,40,5,5,12.5,quadrature,8.0,6.158777166333465,5.105826457631471,8.164624693740974,2.0578086717621735,0.0,0.0
g,sphere0834g_crop.png,14% of radius,40,5,5,12.5,quadrature,10.0,8.598286816834529,5.105826457631471,10.238426553549772,2.3842655354977182,0.0,0.0
g,sphere0834g_crop.png,14% of radius,40,5,5,12.5,quadrature,12.0,10.859582689245036,5.105826457631471,12.354630218849097,2.9552518237424774,0.0,0.0
g,sphere0834g_crop.png,14% of radius,40,5,5,12.5,fixed_kernel,5.483563058400034,2.0,5.105826457631471,5.545666927085039,1.1325459016992638,0.0,0.0
g,sphere0834g_crop.png,14% of radius,40,5,5,12.5,fixed_kernel,6.486097734034659,4.0,5.105826457631471,6.6193123214777705,2.0538479823406224,0.0,0.0
g,sphere0834g_crop.png,14% of radius,40,5,5,12.5,fixed_kernel,7.8784175959039855,6.0,5.105826457631471,8.040954123189529,2.0630605741189285,0.0,0.0
g,sphere0834g_crop.png,14% of radius,40,5,5,12.5,fixed_kernel,9.490493338886527,8.0,5.105826457631471,9.708130312935477,2.2932103345692334,0.0,0.0
g,sphere0834g_crop.png,14% of radius,40,5,5,12.5,fixed_kernel,11.22806589825022,10.0,5.105826457631471,11.533000527328618,2.715825074787979,0.0,0.0
g,sphere0834g_crop.png,14% of radius,40,5,5,12.5,fixed_kernel,13.041068354067066,12.0,5.105826457631471,13.44775849164801,3.1185339002851746,0.0,0.0
g,sphere0834g_crop.png,20% of radius,40,8,8,20.0,quadrature,8.0,4.223041669778668,6.794550688258422,8.262330171975368,3.279127149692096,0.0,0.0
g,sphere0834g_crop.png,20% of radius,40,8,8,20.0,quadrature,10.0,7.337171181367313,6.794550688258422,10.343368603014024,3.433686030140244,0.0,0.0
g,sphere0834g_crop.png,20% of radius,40,8,8,20.0,quadrature,12.0,9.891111208791811,6.794550688258422,12.45561935358028,3.7968279465023347,0.0,0.0
g,sphere0834g_crop.png,20% of radius,40,8,8,20.0,fixed_kernel,7.082790343876698,2.0,6.794550688258422,7.132511588612012,0.7020007980089278,0.0,0.0
g,sphere0834g_crop.png,20% of radius,40,8,8,20.0,fixed_kernel,7.884536705178878,4.0,6.794550688258422,8.140573578176369,3.2473293304515396,0.0,0.0
g,sphere0834g_crop.png,20% of radius,40,8,8,20.0,fixed_kernel,9.06454185578692,6.0,6.794550688258422,9.371754074500565,3.389164324036036,0.0,0.0
g,sphere0834g_crop.png,20% of radius,40,8,8,20.0,fixed_kernel,10.495995381826013,8.0,6.794550688258422,10.857924663689438,3.4482606813081436,0.0,0.0
