crop_path,filename,folder,laplacian_var,tenengrad,tenengrad_var,brenner,norm_laplacian,energy_gradient
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0175v_crop.png,sphere0175v_crop.png,10mm-borosilicate-2,231.4630374250631,708810298.0,7520.842404088837,24092116.0,0.022082212948883306,16024415.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0176v_crop.png,sphere0176v_crop.png,10mm-borosilicate-2,230.65260565143691,697687950.0,7392.007078879333,23762647.0,0.022550196261124034,15824896.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0177v_crop.png,sphere0177v_crop.png,10mm-borosilicate-2,229.94183617727398,714826022.0,7581.339653124594,24372534.0,0.02235413413862179,16098961.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0178v_crop.png,sphere0178v_crop.png,10mm-borosilicate-2,227.38268906924802,695501354.0,7374.269499972082,23949772.0,0.022900145884242447,15732657.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0179v_crop.png,sphere0179v_crop.png,10mm-borosilicate-2,231.20385391249215,712765552.0,7569.031819369724,24483071.0,0.023007017604309715,16086259.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0180v_crop.png,sphere0180v_crop.png,10mm-borosilicate-2,237.895898009496,719810798.0,7634.660135444495,24352646.0,0.022853396630330227,16326566.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0181v_crop.png,sphere0181v_crop.png,10mm-borosilicate-2,235.91450081227597,721108306.0,7652.731012574203,24420360.0,0.022715212673657458,16312117.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0182v_crop.png,sphere0182v_crop.png,10mm-borosilicate-2,226.46783521514342,700832660.0,7442.145436945194,23683447.0,0.022485895681000553,15802594.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0183v_crop.png,sphere0183v_crop.png,10mm-borosilicate-2,227.0880123112214,697434550.0,7398.239825594536,23453802.0,0.02226828282808782,15754957.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0184v_crop.png,sphere0184v_crop.png,10mm-borosilicate-2,225.47449757184685,701473434.0,7447.924850530681,23613972.0,0.02223263097691327,15795010.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0185v_crop.png,sphere0185v_crop.png,10mm-borosilicate-2,228.32898877609435,697726828.0,7396.654315968067,23603053.0,0.022605695942757895,15788063.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0186v_crop.png,sphere0186v_crop.png,10mm-borosilicate-2,232.10011846725496,715925408.0,7590.531073101214,24628250.0,0.022908831094478044,16157575.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0187v_crop.png,sphere0187v_crop.png,10mm-borosilicate-2,230.22369489600948,714306612.0,7580.374304847079,24510280.0,0.022880088531987603,16090673.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0188v_crop.png,sphere0188v_crop.png,10mm-borosilicate-2,223.9634727186706,700521352.0,7425.06652372977,24189965.0,0.022382749403721605,15744135.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0189v_crop.png,sphere0189v_crop.png,10mm-borosilicate-2,230.13863882049566,706379782.0,7493.735178509678,24374121.0,0.022929183185295205,15958761.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0190v_crop.png,sphere0190v_crop.png,10mm-borosilicate-2,235.31995297545288,723758278.0,7682.809678753542,24934254.0,0.02312266056576275,16342676.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0191v_crop.png,sphere0191v_crop.png,10mm-borosilicate-2,234.87006630848336,717863648.0,7621.144652377076,24514236.0,0.022870069201994674,16239509.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0192v_crop.png,sphere0192v_crop.png,10mm-borosilicate-2,231.31902385240963,708357384.0,7520.788240551154,24142571.0,0.023024139993344416,16020364.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0193v_crop.png,sphere0193v_crop.png,10mm-borosilicate-2,231.94054762152157,713721030.0,7569.476080599129,24402152.0,0.02283947184689862,16117423.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0194v_crop.png,sphere0194v_crop.png,10mm-borosilicate-2,226.28335956062466,699799676.0,7419.9161570084025,23781677.0,0.022475001306846317,15772252.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0195v_crop.png,sphere0195v_crop.png,10mm-borosilicate-2,222.44787117200377,704174728.0,7457.161261179135,23971196.0,0.021732904382518604,15773627.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0196v_crop.png,sphere0196v_crop.png,10mm-borosilicate-2,237.72981922342103,726497480.0,7707.049650671292,24789201.0,0.022946787780832926,16437298.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0197v_crop.png,sphere0197v_crop.png,10mm-borosilicate-2,236.67531730372764,717980024.0,7617.358009328136,24556942.0,0.023178064833379235,16278500.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0198v_crop.png,sphere0198v_crop.png,10mm-borosilicate-2,221.442900891719,704378204.0,7460.4117312804465,23774306.0,0.0217318238237581,15755715.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0199v_crop.png,sphere0199v_crop.png,10mm-borosilicate-2,196.21176391927423,678891976.0,7176.999551496843,22729585.0,0.019298812678271784,14833800.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0200v_crop.png,sphere0200v_crop.png,10mm-borosilicate-2,215.49217002759835,699557582.0,7400.073716943235,23631057.0,0.02065130556697111,15545895.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0201v_crop.png,sphere0201v_crop.png,10mm-borosilicate-2,231.88029581084467,709088498.0,7519.564560013556,24097995.0,0.02283028064566759,16038177.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0202v_crop.png,sphere0202v_crop.png,10mm-borosilicate-2,227.17944187850404,705110720.0,7480.910252406733,23911844.0,0.022471505508727608,15882041.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0203v_crop.png,sphere0203v_crop.png,10mm-borosilicate-2,226.56150078296184,700938502.0,7434.61796148703,23588938.0,0.02235453611973193,15803677.0
